index,A,B,C,D
6WU7oqZnHQ,0.37262610539746505,1.9263965587454543,-0.7099149899610658,0.743327198188992
KIaCYovUdv,-0.9934154070612561,0.4019716490979814,0.6976626353758146,1.5203134989178226
AVhyiRyEuh,-0.7082277148962467,1.300103151444628,-0.5133331206401784,0.594540792654527
vXh1xJe10j,-0.5375590915867263,-0.9832883194064368,1.4648850936951012,1.600017557729694
4ZhgNxgkjE,0.6040300093641784,-1.2093948089203759,0.12305796272199952,-0.1402851437370644
XYHOyFF8Q2,-1.290689296820645,0.24888802482195707,1.040141923382835,0.5244952064785331
YGi1wl2A1o,-0.9759576444877271,-0.6881584169929896,-0.5381696488796752,-0.8091392785302708
mNWuFa4P1F,-0.655506627841337,0.4375804841812561,-0.6573135082144129,1.0490071584156395
DXsP8kEHy7,0.12182277340318752,1.3913757482458664,-0.03439292907422494,0.6707809921733632
C60SPDr1x7,0.49908301948000844,-1.2141598784741126,-0.24787181906575548,-1.3439373364597358
xaApAHDq9l,1.6111118694815443,0.2239154037643501,-0.07339899798575278,0.5505668220166657
Q6DP4XFHHX,0.5128915759794158,0.8543305151591072,-1.1886699125041753,1.9695865843008153
Owuyi4bWQg,-0.5227125723160688,0.5072237970901432,-1.705035127097001,1.4521105222587756
yi1zu4fWOQ,-2.274890645076737,-0.6457148312156827,-1.8772920588950637,0.6858588674738181
Gjb3uGLCJH,1.312724133270227,0.18545064640367762,-0.1601119128698111,-0.5678436327365919
RIwZSDjTFy,-0.2841529340326752,1.0043193352013022,0.3215029052031334,-1.216939674558247
l4YOfiNduu,-1.521743725132945,-0.6912332932172064,-1.5572749641166246,-0.5796051001408737
wmylXSVs9D,0.7868844378887799,-1.2728875908367119,1.0006208642480767,1.333306424136851
xDruDXDNpj,-0.05208602217327927,3.1186170325131917,2.317148194057231,-0.21242725718488364
O0ZAhlIy9U,-0.30010313448033205,-1.1379754336333903,-1.0827454550512436,-0.5917010541839487
uYJ8o2iNql,-1.3196774467963757,-0.5763177533018151,2.256283772591359,-0.2760239037130022
nwOTeTUueI,-1.357841484189753,-0.935294190973648,0.7741333567900636,0.2500373921024839
WGxgFnsc2N,-0.016242633908176245,0.24518287852148513,1.1201613008076934,-0.03465256134399253
lLCtLl16bC,1.5737059201132888,0.15444779060945119,1.789591218579116,0.07210055346885597
KcguuKqYIB,0.5220789154793704,0.1262535428028091,-0.08218508655423078,-0.9860231972251062
rboQQMxTxg,-0.32966635201377137,-1.4008110456069576,-1.178959878113245,2.1659699233805565
zlhe58d1TO,-0.2232603393356056,1.4225785928337378,-0.0783038294277289,2.587389067606192
QtvXHYQx7F,-0.12634430745143627,-0.0016252995985192402,-1.5415729433669898,-0.2508602340394974
J9oLbd1hI3,0.5535286052279534,1.2464881591015462,-0.560477546271657,0.1393045138605778
0TGPhYt3kq,-0.07889452345185542,0.8949792541799862,1.5562628823937101,1.1796904339968586
